post_title,post_author,post_category,F174,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,phone,email,website,post_content,post_tags,business_hours,post_images,range_length_yards,number_of_lanes,facility_type,has_pro_shop,has_3d_course,has_field_course,membership_required,membership_price_adult,drop_in_price,equipment_rental_available,lessons_available,lesson_price_range,bow_types_allowed,accessibility,parking_available
Big Horn Archery Club,admin,Club,,5513 Highway 24 (Outdoor); 5830 Horse Lake Rd (Indoor),100 Mile House,British Columbia,Canada,V0K 1X0,51.6436,-121.2944,604-657-7468,bighornarchery100mile@outlook.com,https://bighornarchery.net/,"Operating since 1979, affiliated with Lone Butte Fish and Wildlife Association. Indoor archery bay and outdoor range. Hosts one of BC's largest archery shoots. Wed 7 PM shoots (until temps below -10C). $50 adult / $40 youth / $35 child membership. $10 adult / $2 junior guest fee.",archery;club;indoor;outdoor;cariboo,Wed 7 PM (until temps below -10C),N/A,N/A,N/A,Both,No,Yes,No,Yes,$50,$10,Yes,Yes,$30 adult / $50 family,Recurve; Compound; Longbow; Traditional,Yes,Yes
Starr Archery (Abbotsford Fish and Game Club),admin,Club,,4161 Lakemount Road,Abbotsford,British Columbia,Canada,V3G 2J1,49.1223,-122.2375,604-852-4101,info@abbotsfordfishandgameclub.org,https://abbotsfordfishandgameclub.org/,Premier archery facility serving Abbotsford and Mission. 20-yard indoor range (winter) and 70-yard outdoor range with 3D trail (summer). Home of Sagittarius Archers sub-club with Wed night drop-in sessions. Expert coaching and youth program available.,archery;club;indoor;outdoor;fraser valley,Tue/Thu 5-8pm (outdoor); Thu only (indoor),N/A,20-70,N/A,Both,No,Yes,No,Yes,$170-$225,$10,Yes,Yes,Wed Night Drop-in coaching,Recurve; Compound; Traditional,Yes,Yes
Armstrong District Fish & Game Assoc.,admin,Club,,1428 Reservoir Road,Armstrong,British Columbia,Canada,V0E 1B0,50.4445,-119.1942,250-306-0737,ADFGA.Archery@gmail.com,http://www.adfga.ca,Serving community since 1953. Outdoor archery range with Archery for Kids program on Saturday mornings (seasonal coached sessions). Range open 8:30 AM to dusk. $90 adult / $100 family membership. $5 guest fee (with member) or $10 non-member drop-in for kids.,archery;club;outdoor;okanagan;youth,Sat 10 AM-12 PM (kids); 8:30 AM to dusk,N/A,N/A,N/A,Outdoor,No,No,Yes,Yes,$90,$5,Yes,Yes,$10 per coached session,All,Yes,Yes
Burnaby Archers,admin,Club,,Joe Sakic Way,Burnaby,British Columbia,Canada,V5B 4Z6,49.2542,-122.9656,,burnabyarcherspresident@gmail.com,http://burnabyarchers.org,"Members-only outdoor range in Burnaby Lake Regional Park. Year-round dawn to dusk access. Requires own equipment. $110 individual / $220 family membership. Not accepting new memberships until April 2026 due to overwhelming demand (500+ applications). No drop-ins, rentals, or lessons.",archery;club;outdoor;lower mainland,Daily dawn to dusk,N/A,N/A,N/A,Outdoor,No,No,No,Yes,$110,N/A,No,No,N/A,Recurve; Compound; Traditional,Yes,Yes
New Totem Archery - Outdoor Range,admin,Club,,9785 Jones Rd,Charlie Lake,British Columbia,Canada,V0C 1H0,56.2754,-120.8340,250-329-4899,newtotemarchery@live.com,https://newtotemarchery.net/,Outdoor range in the Peace region. Wed 7-9 PM and Sun 2-4 PM sessions. $250 individual / $400 family / $120 junior membership. $10 drop-in fee. Serves Charlie Lake and Fort St John area archers.,archery;club;outdoor;northern bc,Wed 7-9 PM; Sun 2-4 PM,N/A,N/A,N/A,Outdoor,No,Yes,Unknown,Yes,$250,$10,No,Yes,N/A,Compound; Recurve; Traditional; Barebow,Yes,Yes
Chilliwack Fish and Game,admin,Club,,48685 Chilliwack Lake Rd,Chilliwack,British Columbia,Canada,V4Z 1A6,49.0808,-121.8783,604-858-4202,bruce_a22@hotmail.com,https://chilliwackfishandgame.com/archery/,Indoor and outdoor archery ranges. Thursday night shoots 5-7 PM. Women's Introduction to Archery program available. Active archery section suitable for all experience levels.,archery;club;indoor;outdoor;fraser valley,Thu 5-7 PM,N/A,N/A,N/A,Both,No,Unknown,Unknown,Yes,N/A,N/A,Yes,Yes,N/A,All,Yes,Yes
Burke Mountain Archers,admin,Club,,5000 Upper Harper Road,Coquitlam,British Columbia,Canada,V3E 3H1,49.3088,-122.7482,,burke.archery@gmail.com,https://pcdhfc.com/clubs/archery/,Affiliated with Port Coquitlam & District Hunting and Fishing Club. 18m indoor range and outdoor facilities. Junior Olympian Program (JOP) and indoor drop-in nights. $155 individual / $200 family PCDHFC membership. Crossbows under 350fps allowed.,archery;club;indoor;outdoor;tri-cities,N/A,N/A,18,N/A,Both,No,Yes,Yes,Yes,$155,N/A,No,Yes,$120/year JOP,Recurve; Compound; Crossbow,Yes,Yes
Courtenay & District Fish & Game Protective Assoc.,admin,Club,,3780 Colake Road,Courtenay,British Columbia,Canada,V9N 5N4,49.6824,-125.0276,250-338-5159,archery@courtenayfishandgame.org,https://www.courtenayfishandgame.org/archery,Vancouver Island archery destination. Outdoor field range 10-70 yards plus 3km 3D archery trail. Old Archers Cabin with wood stove. Open House first Sunday of month 10am-2pm. JOP youth program available. Approx $200/year membership.,archery;club;outdoor;3D;vancouver island,Open House 1st Sun/month 10am-2pm,N/A,10-70,N/A,Outdoor,No,Yes,Yes,Yes,$200,Free (Open House),Yes,Yes,JOP Program,All,Yes,Yes
Cranbrook Archery Club,admin,Club,,2279 Cranbrook St N,Cranbrook,British Columbia,Canada,V1C 3T3,49.5047,-115.4788,,cranbrookarcherysecretary@gmail.com,http://www.cranbrookarcheryclub.com,Premier archery in the Kootenays. Indoor 18m range and outdoor range. Club Night Tue 7-9PM. Youth programs and JOP. Affiliated with Archery Canada and BC Archery. $15 individual / $25 family + BC Archery fee.,archery;club;indoor;outdoor;kootenays,Tue 7-9 PM,N/A,18,N/A,Both,No,Yes,No,Yes,$15,N/A,No,Yes,Youth Program,All,Yes,Yes
Cowichan Bowmen,admin,Club,,3044 Doupe Rd,Duncan,British Columbia,Canada,V9L 6R8,49.7482,-123.7088,250-709-7312,president@cowichanbowmen.com,http://cowichanbowmen.com/,"Vancouver Island archery hub. 10-lane indoor 18m range, 3-acre outdoor target range, and 16-target field course. Family Night drop-in Tue 6-7:15PM and Thu 6-8PM ($5 includes equipment). JOP on Monday nights. $150 adult / $200 family / $100 senior.",archery;club;indoor;outdoor;vancouver island,Tue 6-7:15PM; Thu 6-8PM (Family Night),N/A,18,10,Both,Unknown,Unknown,Yes,Yes,$150,$5,Yes,Yes,JOP Program,Compound; Recurve; Traditional; Barebow,Yes,Yes
Fernie Rod and Gun Club,admin,Club,,Coal Creek Road,Fernie,British Columbia,Canada,V0B 1M0,49.4887,-115.0626,250-423-3495,president@ferniergc.com,http://www.ferniergc.com,"Mountain archery in the Kootenays. Indoor range popular in winter, outdoor 3D fun shoots in summer. $60 adult / $80 family + $40 indoor range access.",archery;club;indoor;outdoor;kootenays,Check Facebook/Website,N/A,N/A,N/A,Both,Unknown,Yes,Unknown,Yes,$60,N/A,No,Yes,N/A,All,Yes,Yes
New Totem Archery Club - Indoor Range,admin,Club,,9223 100 St (Indoor); 9169 Jones Subdivision Rd (Outdoor),Fort St John,British Columbia,Canada,V1J 3X3,56.2383,-120.8455,250-329-4899,newtotemarchery@live.com,https://newtotemarchery.net/,Northern BC archery hub. Indoor 20-yard lanes and outdoor 20-target 3D course with 10-60 yard field ranges. Wed 6:45-8:30 PM and Sun 2-4 PM. Basic and intermediate instruction available ($30-$60). $250 adult / $400 family / $120 junior.,archery;club;indoor;outdoor;northern bc,Wed 6:45-8:30 PM; Sun 2-4 PM,N/A,20,N/A,Both,Unknown,Yes,Yes,Yes,$250,$10,Yes,Yes,$30-$60,Compound; Recurve; Traditional; Barebow,Yes,Yes
Kamloops Target Sports Association - Bowbenders,admin,Club,,755 Lansdowne St (Indoor); Hillside Dr (Outdoor),Kamloops,British Columbia,Canada,V2C 5S2,50.6745,-120.3273,250-320-0234,admin-assistant@ktsa.ca,https://ktsa.ca/,Dual-facility setup. 10-lane 18m indoor range downtown and hillside outdoor range (dawn to dusk). Tue 6:30-8 PM and Sun 5-9 PM indoor sessions. Beginners Intro Courses and Junior Archery program. $185.40 single / $226.60 family. Digital punchcard drop-in $6.50 adult.,archery;club;indoor;outdoor;thompson okanagan,Tue 6:30-8 PM; Sun 5-9 PM,N/A,18,10,Both,Unknown,Unknown,Unknown,Yes,$185,$6.50,Yes,Yes,$20-$80,No broadheads or crossbows,Yes,Yes
The Feathered Fletch Archery School & Range,admin,Range,,750 McClure Rd,Kelowna,British Columbia,Canada,V1W 1M3,49.8161,-119.4797,,admin@wethinkoutside.com,https://www.thefeatheredfletch.ca/,Archery academy with indoor and outdoor instruction. Mon-Sat 8 AM-7 PM. Workshops summer camps and group events (up to 30 shooters). Full courses $245-$280. Workshop drop-in $55. Summer shoots $15.,archery;school;lessons;okanagan,Mon-Sat 8 AM-7 PM,N/A,N/A,N/A,Both,Unknown,Unknown,Unknown,No,N/A,$55,Yes,Yes,$245-$280,Compound; Recurve; Traditional,Yes,Yes
Kelowna & District Fish & Game Club,admin,Club,,4041 Casorso Rd,Kelowna,British Columbia,Canada,V1W 4N6,49.8483,-119.4041,250-764-7558,info@kdfgc.org,https://kdfgc.org/,"One of largest clubs in the Okanagan. Indoor range, outdoor 3D course, and field range. Weekdays 9AM-8PM, weekends 9AM-5PM. JOP and adult archery leagues. $355 adult+spouse / $405 family / $65 junior. $25 adult guest (with member).",archery;club;indoor;outdoor;3D;okanagan,Weekdays 9AM-8PM; Weekends 9AM-5PM,N/A,N/A,N/A,Both,Unknown,Yes,Yes,Yes,$355,$25,Yes,Yes,JOP Program,Compound; Recurve; Traditional,Yes,Yes
Langley Archers / HD Stafford Archery Club,admin,Club,,20441 Grade Cres,Langley,British Columbia,Canada,V3A 4J8,49.0846,-122.6467,604-328-4461,StaffordArchery@gmail.com,https://www.staffordarchery.com/,"Indoor archery club operating out of HD Stafford Middle School in Langley. Beginner courses, Junior Olympian Program, and coaching sessions. Open to all skill levels. $70 adult / $150 family. $5 drop-in. Equipment rental $5/session.",archery;club;indoor;fraser valley;youth,Contact for availability,N/A,N/A,N/A,Indoor,Unknown,Unknown,Unknown,Yes,$70,$5,Yes,Yes,$15/lesson,Compound; Recurve; Traditional,Unknown,Unknown
